"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2048","transferFolder_targetFolderNotExists_shouldCreate(Vault)","","Mon Aug 18 04:00:17 GMT 2025","passed","Mon Aug 18 04:00:19 GMT 2025","","org.eclipse.tractusx.edc.dataplane.transfer.test.AzureToAzureTest","org.eclipse.tractusx.edc.dataplane.transfer.test.AzureToAzureTest","transferFolder_targetFolderNotExists_shouldCreate"
"","2038","transferFile_azureToS3(Vault)","","Mon Aug 18 04:00:37 GMT 2025","passed","Mon Aug 18 04:00:39 GMT 2025","","org.eclipse.tractusx.edc.dataplane.transfer.test.MultiCloudTest","org.eclipse.tractusx.edc.dataplane.transfer.test.MultiCloudTest","transferFile_azureToS3"
"","5318","Contract policy is fulfilled MembershipCredential","","Mon Aug 18 04:03:03 GMT 2025","passed","Mon Aug 18 04:03:08 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","transferData_whenContractPolicyFulfilled"
"","2064","Contract policy is NOT fulfilled Dismantler allowedBrands (IS_NONE_OF, but is one contains)","","Mon Aug 18 04:01:22 GMT 2025","passed","Mon Aug 18 04:01:24 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","transferData_whenContractPolicyNotFulfilled"
"","1","verifyCorrectParticipantAgentId(ParticipantAgentService)","","Mon Aug 18 04:02:07 GMT 2025","passed","Mon Aug 18 04:02:07 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.IdentityExtractorTest","org.eclipse.tractusx.edc.tests.transfer.IdentityExtractorTest","verifyCorrectParticipantAgentId"
"","1597","retireAgreement_shouldFail_whenAgreementDoesNotExist()","","Mon Aug 18 03:59:44 GMT 2025","passed","Mon Aug 18 03:59:46 GMT 2025","","org.eclipse.tractusx.edc.tests.agreement.retirement.RetireAgreementTest","org.eclipse.tractusx.edc.tests.agreement.retirement.RetireAgreementTest","retireAgreement_shouldFail_whenAgreementDoesNotExist"
"","1194","The authentication token misses required claims: audience","","Mon Aug 18 03:59:30 GMT 2025","passed","Mon Aug 18 03:59:31 GMT 2025","","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","refresh_invalidAuthenticationToken_missingAudience"
"","47","Policy is accepted Contract reference","","Mon Aug 18 03:59:37 GMT 2025","passed","Mon Aug 18 03:59:37 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","5013","Contract policy is fulfilled Dismantler allowedBrands (IN, fully contained)","","Mon Aug 18 04:03:50 GMT 2025","passed","Mon Aug 18 04:03:55 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","transferData_whenContractPolicyFulfilled"
"","2040","transferFile_success(Vault)","","Mon Aug 18 04:00:15 GMT 2025","passed","Mon Aug 18 04:00:17 GMT 2025","","org.eclipse.tractusx.edc.dataplane.transfer.test.AzureToAzureTest","org.eclipse.tractusx.edc.dataplane.transfer.test.AzureToAzureTest","transferFile_success"
